Ticker,Company Name
PLIN,PT Plaza Indonesia Realty Tbk
PRAY,PT Famon Awal Bros Sedaya Tbk
BBMD,PT Bank Mestika Dharma Tbk
DSNG,PT Dharma Satya Nusantara Tbk
BJTM,PT Bank Pembangunan Daerah Jawa Timur Tbk
TMAS,PT Temas Tbk.
JRPT,"PT Jaya Real Property, Tbk."
SOHO,PT Soho Global Health Tbk
CMNP,PT Citra Marga Nusaphala Persada Tbk
MFIN,PT Mandala Multifinance Tbk
DMAS,PT Puradelta Lestari Tbk
EDGE,PT Indointernet Tbk.
SCMA,PT Surya Citra Media Tbk
PSAB,PT J Resources Asia Pasifik Tbk
MTDL,PT Metrodata Electronics Tbk
DMND,PT Diamond Food Indonesia Tbk
INDY,PT. Indika Energy Tbk
BKSL,PT Sentul City Tbk
SMCB,PT Solusi Bangun Indonesia Tbk
GGRP,PT Gunung Raja Paksi Tbk
TINS,PT TIMAH Tbk
ARCI,PT Archi Indonesia Tbk
DUTI,PT Duta Pertiwi Tbk
IBST,PT Inti Bangun Sejahtera Tbk
LSIP,PT Perusahaan Perkebunan London Sumatra Indonesia Tbk
ERAA,PT Erajaya Swasembada Tbk
EPMT,PT Enseval Putera Megatrading Tbk.
SDRA,PT Bank Woori Saudara Indonesia 1906 Tbk
AGRO,PT Bank Raya Indonesia Tbk
SSIA,PT Surya Semesta Internusa Tbk
HILL,PT Hillcon Tbk
SGER,PT Sumber Global Energy Tbk
BNBR,PT Bakrie & Brothers Tbk
SIMP,PT Salim Ivomas Pratama Tbk
LPKR,PT Lippo Karawaci Tbk
TLDN,PT Teladan Prima Agro Tbk
PALM,PT Provident Investasi Bersama Tbk
LINK,PT Link Net Tbk
GIAA,PT. Garuda Indonesia (Persero) Tbk
TGKA,PT Tigaraksa Satria Tbk
ROTI,PT Nippon Indosari Corpindo Tbk
ADES,PT Akasha Wira International Tbk
ALII,PT Ancara Logistics Indonesia Tbk
VKTR,PT VKTR Teknologi Mobilitas Tbk
SMDR,PT Samudera Indonesia Tbk
AGII,PT Samator Indo Gas Tbk
HEXA,PT Hexindo Adiperkasa Tbk
MLPT,PT Multipolar Technology Tbk
DOID,PT Delta Dunia Makmur Tbk
IMAS,PT Indomobil Sukses Internasional Tbk
RAJA,PT Rukun Raharja Tbk
DRMA,PT Dharma Polimetal Tbk
MSTI,PT Mastersystem Infotama Tbk
ASRI,PT Alam Sutera Realty Tbk
ENRG,PT Energi Mega Persada Tbk
BPII,PT Batavia Prosperindo Internasional Tbk
OMED,PT Jayamas Medica Industri Tbk
