Ticker,Company Name
GTRA,PT Grahaprima Suksesmandiri Tbk
SSTM,PT Sunson Textile Manufacturer Tbk
KOCI,PT Kokoh Exa Nusantara Tbk
COAL,PT Black Diamond Resources Tbk
MPXL,PT MPX Logistics International Tbk
LION,PT Lion Metal Works Tbk
HRME,PT Menteng Heritage Realty Tbk
NASA,PT Andalan Perkasa Abadi Tbk
ELIT,PT Data Sinergitama Jaya Tbk
CGAS,PT Citra Nusantara Gemilang Tbk
AKSI,PT Mineral Sumberdaya Mandiri Tbk
RCCC,PT Utama Radar Cahaya Tbk
VAST,PT Vastland Indonesia Tbk
DPUM,PT Dua Putra Utama Makmur Tbk
PRIM,PT Royal Prima Tbk
UNSP,PT Bakrie Sumatera Plantations Tbk
FOLK,PT Multi Garam Utama Tbk
MANG,PT Manggung Polahraya Tbk
TGUK,PT Platinum Wahab Nusantara Tbk
FWCT,PT Wijaya Cahaya Timber Tbk
SAFE,PT Steady Safe Tbk
TFAS,PT Telefast Indonesia Tbk
ALKA,PT Alakasa Industrindo Tbk
ZYRX,PT Zyrexindo Mandiri Buana Tbk
PDES,PT Destinasi Tirta Nusantara Tbk
APII,PT Arita Prima Indonesia Tbk
ASDM,PT Asuransi Dayin Mitra Tbk
BAJA,PT Saranacentral Bajatama Tbk
BSML,PT Bintang Samudera Mandiri Lines Tbk
MRAT,PT Mustika Ratu Tbk
OBMD,PT OBM Drilchem Tbk
BOBA,PT Formosa Ingredient Factory Tbk
VINS,PT Victoria Insurance Tbk
BTEK,PT Bumi Teknokultura Unggul Tbk
NZIA,PT Nusantara Almazia Tbk
KOKA,PT Koka Indonesia Tbk
YPAS,PT Yanaprima Hastapersada Tbk
WEHA,PT WEHA Transportasi Indonesia Tbk
CINT,PT Chitose Internasional Tbk
PTPS,PT Pulau Subur Tbk
PURI,PT Puri Global Sukses Tbk
CAKK,PT Cahayaputra Asa Keramik Tbk
INOV,PT Inocycle Technology Group Tbk
DIVA,PT Distribusi Voucher Nusantara Tbk
TRUE,PT Triniti Dinamik Tbk
PUDP,PT Pudjiadi Prestige Tbk
SDPC,PT Millennium Pharmacon International Tbk
PAMG,PT Bima Sakti Pertiwi Tbk
SOLA,PT Xolare RCR Energy TBK
KREN,PT Quantum Clovera Investama Tbk
JATI,PT Informasi Teknologi Indonesia Tbk
ASJT,PT Asuransi Jasa Tania Tbk
SMLE,PT Sinergi Multi Lestarindo Tbk
ERTX,PT Eratex Djaja Tbk
AMIN,PT Ateliers Mecaniques D'Indonesie Tbk
MINA,PT Sanurhasta Mitra Tbk
RONY,PT Aesler Grup Internasional Tbk
LPIN,PT Multi Prima Sejahtera Tbk
KDTN,PT Puri Sentul Permai Tbk
MMIX,PT Multi Medika Internasional Tbk
FIRE,PT Alfa Energi Investama Tbk
KBAG,PT Karya Bersama Anugerah Tbk
UVCR,PT Trimegah Karya Pratama Tbk
DEWI,PT Dewi Shri Farmindo Tbk.
LUCY,PT Lima Dua Lima Tiga Tbk
LPPS,PT Lenox Pasifik Investama Tbk
SEMA,PT Semacom Integrated Tbk
BLUE,PT Berkah Prima Perkasa Tbk
WMUU,PT Widodo Makmur Unggas Tbk
ABBA,PT Mahaka Media Tbk
FITT,PT Hotel Fitra International Tbk
RUIS,PT Radiant Utama Interinsco Tbk
CHEM,PT Chemstar Indonesia Tbk
BIPP,PT Bhuwanatala Indah Permai Tbk
SLIS,PT Gaya Abadi Sempurna Tbk
NTBK,PT Nusatama Berkah Tbk
MGLV,PT Panca Anugrah Wisesa Tbk
RGAS,PT Kian Santang Muliatama Tbk
PURA,PT Putra Rajawali Kencana Tbk
PSDN,PT Prasidha Aneka Niaga Tbk
WAPO,PT Wahana Pronatural Tbk
KOTA,PT DMS Propertindo Tbk
NPGF,PT Nusa Palapa Gemilang Tbk
JMAS,PT Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk
POLY,PT Asia Pacific Fibers Tbk
MPIX,PT Mitra Pedagang Indonesia Tbk
INTD,PT Inter Delta Tbk
LFLO,PT Imago Mulia Persada Tbk
SAGE,PT Saptausaha Gemilangindah Tbk
INCI,PT Intanwijaya Internasional Tbk
PPRI,PT Paperocks Indonesia Tbk
SBMA,PT Surya Biru Murni Acetylene Tbk
DPNS,PT Duta Pertiwi Nusantara Tbk
MBTO,PT Martina Berto Tbk
PTIS,PT Indo Straits Tbk
TARA,PT Agung Semesta Sejahtera Tbk
TOOL,PT Rohartindo Nusantara Luas Tbk
AIMS,PT Akbar Indo Makmur Stimec Tbk
CBRE,PT Cakra Buana Resources Energi Tbk
SMKM,PT Sumber Mas Konstruksi Tbk
ASMI,PT Asuransi Maximus Graha Persada Tbk
LAJU,PT Jasa Berdikari Logistics Tbk
SICO,PT Sigma Energy Compressindo Tbk
CASH,PT Cashlez Worldwide Indonesia Tbk
PADI,PT Minna Padi Investama Sekuritas Tbk
WOWS,PT Ginting Jaya Energi Tbk
KBLV,PT First Media Tbk
DFAM,PT Dafam Property Indonesia Tbk
DSFI,PT Dharma Samudera Fishing Industries Tbk
IBFN,PT Intan Baru Prana Tbk
KRYA,PT Bangun Karya Perkasa Jaya Tbk
RELF,PT Graha Mitra Asia Tbk
NASI,PT Wahana Inti Makmur Tbk
AKKU,PT Anugerah Kagum Karya Utama Tbk
BAUT,PT Mitra Angkasa Sejahtera Tbk
INAI,PT Indal Aluminium Industry Tbk
WGSH,PT Wira Global Solusi Tbk
INTA,PT Intraco Penta Tbk
ZATA,PT Bersama Zatta Jaya Tbk
UDNG,PT Agro Bahari Nusantara Tbk
ENZO,PT Morenzo Abadi Perkasa Tbk
MGNA,PT Magna Investama Mandiri Tbk
IPAC,PT Era Graharealty Tbk
JAYA,PT Armada Berjaya Trans Tbk
RAFI,PT Sari Kreasi Boga Tbk
COCO,PT Wahana Interfood Nusantara Tbk
ESTI,PT Ever Shine Tex Tbk
WINR,PT Winner Nusantara Jaya Tbk
LMPI,PT Langgeng Makmur Industri Tbk
TAYS,PT Jaya Swarasa Agung Tbk
BATA,PT Sepatu Bata Tbk.
PPGL,PT Prima Globalindo Logistik Tbk
PGLI,PT Pembangunan Graha Lestari Indah Tbk
GRPM,PT Graha Prima Mentari Tbk
BAPI,PT Bhakti Agung Propertindo Tbk
MEDS,PT Hetzer Medical Indonesia Tbk
FOOD,PT Sentra Food Indonesia Tbk
INPS,PT Indah Prakasa Sentosa Tbk
LAPD,PT Leyand International Tbk
ANDI,"PT. Andira Agro, Tbk"
HOPE,PT Harapan Duta Pertiwi Tbk
OPMS,PT Optima Prima Metal Sinergi Tbk
RBMS,PT Ristia Bintang Mahkotasejati Tbk
LRNA,PT Eka Sari Lorena Transport Tbk
GPSO,PT Geoprima Solusi Tbk
KOIN,PT Kokoh Inti Arebama Tbk
REAL,PT Repower Asia Indonesia Tbk
BCIP,PT Bumi Citra Permai Tbk
NANO,PT Nanotech Indonesia Global Tbk
BAIK,PT Bersama Mencapai Puncak Tbk
PGJO,PT Tourindo Guide Indonesia Tbk
CNKO,PT Exploitasi Energi Indonesia Tbk
TGRA,PT. Terregra Asia Energy Tbk
IRSX,PT Aviana Sinar Abadi Tbk
ASHA,PT Cilacap Samudera Fishing Industry Tbk
KUAS,PT Ace Oldfields Tbk
PICO,PT Pelangi Indah Canindo Tbk
DADA,PT Diamond Citra Propertindo Tbk
IPPE,PT Indo Pureco Pratama Tbk
MPOW,PT Megapower Makmur Tbk
JAST,PT. Jasnita Telekomindo Tbk
CSIS,PT Cahayasakti Investindo Sukses Tbk
NAYZ,PT Hassana Boga Sejahtera Tbk
MDRN,PT Modern Internasional Tbk
TIRT,PT Tirta Mahakam Resources Tbk
XCIS,DIRE Ciptadana Properti Ritel Indonesia
PCAR,PT Prima Cakrawala Abadi Tbk
PACK,PT Solusi Kemasan Digital Tbk
BIMA,PT Primarindo Asia Infrastructure Tbk.
LAND,PT Trimitra Propertindo Tbk
RUNS,PT Global Sukses Solusi Tbk
LUCK,PT Sentral Mitra Informatika Tbk
KIOS,PT Kioson Komersial Indonesia Tbk
PADA,PT Personel Alih Daya Tbk
RICY,PT Ricky Putra Globalindo Tbk
FLMC,PT Falmaco Nonwoven Industri Tbk
TELE,PT Omni Inovasi Indonesia Tbk
TAXI,PT Express Transindo Utama Tbk
POLA,PT Pool Advista Finance Tbk
GRPH,PT Griptha Putra Persada Tbk
KKES,PT Kusuma Kemindo Sentosa Tbk
OILS,PT Indo Oil Perkasa Tbk
INCF,PT Indo Komoditi Korpora Tbk
AYLS,PT Agro Yasa Lestari Tbk
MTPS,PT Meta Epsi Tbk.
ALTO,PT Tri Banyan Tirta Tbk
INDX,PT Tanah Laut Tbk
ICON,PT Island Concepts Indonesia Tbk
TRUK,PT Guna Timur Raya Tbk
KICI,PT Kedaung Indah Can Tbk
LOPI,PT Logisticsplus International Tbk
BAPA,PT Bekasi Asri Pemula Tbk
ARKA,PT Arkha Jayanti Persada Tbk
ATAP,PT Trimitra Prawara Goldland Tbk
EPAC,PT Megalestari Epack Sentosaraya Tbk
MIRA,PT Mitra International Resources Tbk
LMSH,PT Lionmesh Prima Tbk
ESIP,PT Sinergi Inti Plastindo Tbk
KJEN,PT Krida Jaringan Nusantara Tbk
CANI,PT Capitol Nusantara Indonesia Tbk
AEGS,PT. Anugerah Spareparts Sejahtera Tbk
PIPA,PT. Multi Makmur Lemindo
ISAP,PT Isra Presisi Indonesia Tbk.
CTTH,PT Citatah Tbk
YELO,PT Yelooo Integra Datanet Tbk
IDEA,PT Idea Indonesia Akademi Tbk
IKAN,PT Era Mandiri Cemerlang Tbk
PTDU,PT Djasa Ubersakti Tbk
SOFA,PT Boston Furniture Industries Tbk
HBAT,PT Minahasa Membangun Hebat Tbk
HDIT,PT Hensel Davest Indonesia Tbk
SDMU,PT Sidomulyo Selaras Tbk
AMMS,PT Agung Menjangan Mas Tbk
DIGI,PT Arkadia Digital Media Tbk
MENN,PT Menn Teknologi Indonesia Tbk
KLIN,PT Klinko Karya Imaji Tbk
MSIE,PT Multisarana Intan Eduka Tbk
MTSM,PT Metro Realty Tbk
PLAN,PT Planet Properindo Jaya Tbk
LMAX,PT Lupromax Pelumas Indonesia Tbk
NINE,PT Techno9 Indonesia Tbk
WIDI,PT Widiant Jaya Krenindo Tbk
OLIV,PT Oscar Mitra Sukses Sejahtera Tbk
SOUL,PT Mitra Tirta Buwana Tbk
TAMA,PT Lancartama Sejati Tbk
HADE,PT Himalaya Energi Perkasa Tbk
FIMP,PT Fimperkasa Utama Tbk
BMBL,PT Lavender Bina Cendikia Tbk
